,text,cleantext,afinn,newtext,clusters
136,"Memorials to the heroes of Yorktown and Saratoga — to young Americans who shed their blood on the shores of Normandy, and the fields beyond. And others, who went down in the waters of the Pacific and the skies over Asia.","memorials to the heroes of yorktown and saratoga — to young american who shed their blood on the shores of normandy, and the fields beyond. and others, who went down in the waters of the pacific and the skies over asia.",Positive,"memorial to the hero of yorktown and saratoga — to young american who shed their blood on the shore of normandy , and the field beyond . and others , who go down in the water of the pacific and the sky over asia .",6
137,And freedom stands tall over one more monument: this one. This Capitol. This living monument to the American people.,and freedom stands tall over one more monument: this one. this capitol. this living monument to the american people.,Positive,and freedom stand tall over one more monument : this one . this capitol . this living monument to the american people .,15
138,"A people whose heroes live not only in the past, but all around us — defending hope, pride, and the American way.","a people whose heroes live not only in the past, but all around american — defending hope, pride, and the american way.",Positive,"a people whose hero live not only in the past , but all around u — defend hope , pride , and the american way .",6
139,"They work in every trade. They sacrifice to raise a family. They care for our children at home. They defend our flag abroad. They are strong moms and brave kids. They are firefighters, police officers, border agents, medics, and Marines.","they work in every trade. they sacrifice to raise a family. they care for our children at home. they defend our flag abroad. they are strong moms and brave kids. they are firefighters, police officers, border agents, medics, and marines.",Positive,"they work in every trade . they sacrifice to raise a family . they care for our child at home . they defend our flag abroad . they be strong mom and brave kid . they be firefighter , police officer , border agent , medic , and marine .",12
140,"But above all else, they are Americans. And this Capitol, this city, and this nation, belong to them.","but above all else, they are american. and this capitol, this city, and this nation, belong to them.",Neutral,"but above all else , they be american . and this capitol , this city , and this nation , belong to them .",14
141,"Our task is to respect them, to listen to them, to serve them, to protect them, and to always be worthy of them.","our task is to respect them, to listen to them, to serve them, to protect them, and to always be worthy of them.",Positive,"our task be to respect them , to listen to them , to serve them , to protect them , and to always be worthy of them .",14
142,Americans fill the world with art and music. They push the bounds of science and discovery. And they forever remind us of what we should never forget: The people dreamed this country. The people built this country. And it is the people who are making America great again.,american fill the world with art and mamericanic. they pamericanh the bounds of science and discovery. and they forever remind american of what we should never forget: the people dreamed this country. the people built this country. and it is the people who are making america great again.,Positive,american fill the world with art and music . they push the bound of science and discovery . and they forever remind u of what we should never forget : the people dream this country . the people build this country . and it be the people who be make america great again .,2
143,"As long as we are proud of who we are, and what we are fighting for, there is nothing we cannot achieve.","as long as we are proud of who we are, and what we are fighting for, there is nothing we cannot achieve.",Positive,"as long a we be proud of who we be , and what we be fight for , there be nothing we can not achieve .",3
144,"As long as we have confidence in our values, faith in our citizens, and trust in our God, we will not fail.","as long as we have confidence in our values, faith in our citizens, and tramericant in our god, we will not fail.",Positive,"as long a we have confidence in our value , faith in our citizen , and trust in our god , we will not fail .",3
145,Our families will thrive.,our families will thrive.,Neutral,our family will thrive .,14
146,Our people will prosper.,our people will prosper.,Neutral,our people will prosper .,2
147,And our nation will forever be safe and strong and proud and mighty and free.,and our nation will forever be safe and strong and proud and mighty and free.,Positive,and our nation will forever be safe and strong and proud and mighty and free .,5
148,"Thank you, and God bless America.","thank you, and god bless america.",Positive,"thank you , and god bless america .",5
